fecha,turno,employee_id,documento,moneda,importe,isla,autoriza
12/12/2018,2,6,403,S,520,2,s
12/12/2018,2,6,404,S,400,2,s
12/12/2018,2,6,405,S,510,2,
12/12/2018,3,2,406,S,170,2,
12/12/2018,3,2,407,S,350,2,
12/12/2018,3,2,408,S,150,2,
12/12/2018,3,2,409,S,300,2,
12/12/2018,3,2,410,S,130,2,
13/12/2018,1,1,411,S,600,2,
13/12/2018,1,1,412,S,900,2,
13/12/2018,1,1,413,S,300,2,
13/12/2018,1,1,414,S,400,2,
13/12/2018,1,1,415,S,636.8,2,
13/12/2018,1,1,416,S,523.3,2,
13/12/2018,2,5,417,S,450,2,conforme
13/12/2018,2,5,418,S,700,2,confome
13/12/2018,2,5,419,S,610,2,conforme
13/12/2018,2,5,420,S,250,2,conforme
13/12/2018,3,6,421,S,320,2,si
13/12/2018,3,6,422,S,220,2,
13/12/2018,3,6,423,S,70,2,
13/12/2018,3,6,424,S,770,2,
01/12/2018,3,5,4,S,120,1,CONFORME
01/12/2018,3,5,5,S,300,1,CONFORME
01/12/2018,3,5,6,S,240,1,CONFORME
01/12/2018,3,5,7,S,140,1,CONFORME
01/12/2018,3,5,8,S,300,1,COMFORME
01/12/2018,3,5,9,S,74.4,1,CONFORME
03/12/2018,3,6,10,S,440,1,SI
06/12/2018,3,5,11,S,100,1,
13/12/2018,2,5,12,S,460,1,comforme
13/12/2018,2,5,13,S,120,1,conforme
01/12/2018,1,3,111,S,500,3,si
01/12/2018,1,3,112,S,500,3,si
01/12/2018,1,1,113,S,400,3,si
01/12/2018,1,3,114,S,433,3,si
01/12/2018,2,2,115,S,300,3,si
01/12/2018,2,2,116,S,250,3,si
01/12/2018,2,2,117,S,350,3,si
01/12/2018,2,2,118,S,200,3,si
01/12/2018,2,2,119,S,350,3,si
01/12/2018,2,2,120,S,230,3,si
01/12/2018,2,2,121,S,250,3,si
01/12/2018,3,7,122,S,300,3,c
01/12/2018,3,7,123,S,490,3,c
02/12/2018,1,3,124,S,450,3,si
02/12/2018,1,3,125,S,400,3,si
02/12/2018,1,3,126,S,450,3,si
02/12/2018,1,3,127,S,600,3,si
02/12/2018,1,3,128,S,490,3,si
02/12/2018,1,6,129,S,300,3,si
02/12/2018,1,6,130,S,200,3,si
02/12/2018,1,6,131,S,200,3,si
02/12/2018,1,6,132,S,300,3,si
02/12/2018,1,6,133,S,550,3,si
02/12/2018,2,5,134,S,100,3,conforme
02/12/2018,2,5,135,S,200,3,conforme
02/12/2018,2,5,136,S,200,3,conforme
03/12/2018,1,3,137,S,400,3,si
03/12/2018,1,3,138,S,350,3,si
03/12/2018,1,3,139,S,500,3,si
03/12/2018,1,3,140,S,396.1,3,si
03/12/2018,2,4,141,S,700,3,si
03/12/2018,2,4,142,S,400,3,si
03/12/2018,2,4,143,S,1300,3,si
03/12/2018,2,4,144,S,370,3,si
03/12/2018,2,4,145,S,490,3,si
03/12/2018,2,4,146,S,150,3,si
03/12/2018,2,4,147,S,260,3,si
03/12/2018,3,5,148,S,160,3,conforme
03/12/2018,3,5,149,S,282.5,3,conforme
04/12/2018,1,4,150,S,360,3,si
04/12/2018,1,4,151,S,290,3,si
04/12/2018,1,4,152,S,310,3,si
04/12/2018,1,4,153,S,290,3,si
04/12/2018,1,4,154,S,680,3,si
04/12/2018,2,2,155,S,250,3,si
04/12/2018,2,2,156,S,350,3,si
04/12/2018,2,2,157,S,260,3,si
04/12/2018,2,2,158,S,300,3,si
04/12/2018,2,2,159,S,300,3,si
04/12/2018,2,2,160,S,300,3,si
04/12/2018,2,2,161,S,200,3,si
04/12/2018,3,6,162,S,210,3,si
04/12/2018,3,6,163,S,250,3,si
05/12/2018,1,3,164,S,400,3,si
05/12/2018,1,3,165,S,514,3,si
05/12/2018,2,4,166,S,400,3,si
05/12/2018,2,4,167,S,300,3,si
05/12/2018,2,4,168,S,200,3,si
05/12/2018,2,4,169,S,300,3,si
05/12/2018,2,4,170,S,250,3,si
05/12/2018,2,4,171,S,230,3,si
05/12/2018,2,4,172,S,300,3,si
05/12/2018,2,4,173,S,150,3,si
05/12/2018,3,5,174,S,410,3,conforme
05/12/2018,3,5,175,S,200,3,conforme
06/12/2018,1,3,176,S,400,3,si
06/12/2018,1,3,177,S,400,3,si
06/12/2018,1,3,178,S,450,3,si
06/12/2018,1,3,179,S,450,3,si
06/12/2018,2,4,180,S,460,3,si
06/12/2018,2,4,181,S,300,3,si
06/12/2018,2,4,182,S,150,3,
06/12/2018,2,4,183,S,200,3,
06/12/2018,2,4,184,S,150,3,
06/12/2018,2,4,185,S,400,3,
06/12/2018,2,4,186,S,250,3,
06/12/2018,2,4,187,S,230,3,
06/12/2018,3,6,188,S,220,3,si
06/12/2018,3,6,189,S,50,3,si
06/12/2018,3,6,190,S,900,3,si
06/12/2018,3,6,191,S,200,3,si
07/12/2018,1,3,192,S,500,3,
